Marca,Tipo,Modello,Memoria,mm,pollici,Colore,Codice_PIM
Samsung,Tablet,GALAXY TAB A11 WIFI,64 GB,n/n,n/n,n/n,577429
Samsung,Tablet,GALAXY TAB A11+,128 GB,n/n,n/n,n/n,551789
Samsung,Tablet,GALAXY TAB A11+,256 GB,n/n,n/n,n/n,551780
Samsung,Tablet,GALAXY TAB A11+ 5G,128 GB,n/n,n/n,n/n,551794
Samsung,Tablet,Galaxy Tab S10 FE,128 GB,n/n,n/n,n/n,426979
Samsung,Tablet,Galaxy Tab S10 FE,256 GB,n/n,n/n,n/n,426987
Samsung,Tablet,Galaxy Tab S10 FE+,256 GB,n/n,n/n,n/n,427087
Samsung,Tablet,Galaxy Tab S10 Lite,128 GB,n/n,n/n,n/n,497807
Samsung,Tablet,Galaxy Tab S11 Ultra WiFi,256 GB,n/n,n/n,n/n,497818
Samsung,Tablet,Galaxy Tab S11 WiFi,128 GB,n/n,n/n,n/n,497832
